ques,skill
614,83
115,18
268,32
179,16
290,21
587,54
376,23
58,19
97,52
332,35
402,23
9,0
12,59
110,19
295,12
483,64
572,74
106,19
356,14
419,11
454,31
564,32
593,75
602,22
562,74
211,8
411,23
372,23
556,20
606,26
297,21
458,6
511,49
140,18
40,29
434,31
406,60
341,39
437,50
176,18
241,36
562,55
129,53
228,18
600,27
624,40
361,60
293,21
113,77
443,31
597,71
553,6
152,74
504,31
543,31
427,48
132,74
286,12
219,59
396,12
517,50
582,0
623,63
320,12
75,0
343,67
158,74
261,32
369,23
137,18
187,8
235,18
605,56
173,53
439,31
468,64
202,20
110,29
521,76
415,60
407,10
429,25
565,55
119,40
125,53
604,22
398,15
473,78
62,19
538,80
275,20
21,77
477,80
374,23
589,78
574,55
37,77
208,55
460,6
489,80
448,4
316,45
583,54
59,33
96,52
86,59
394,42
8,0
78,77
305,12
589,19
112,77
141,74
555,6
599,71
63,19
169,53
220,40
577,47
166,52
250,40
591,75
310,39
606,17
274,20
301,12
191,18
629,65
178,5
551,6
227,18
471,78
60,33
360,60
570,74
600,22
452,31
345,67
14,29
577,20
355,15
462,80
445,40
94,52
0,19
426,48
283,12
134,53
56,77
74,0
146,40
260,32
545,31
340,58
524,47
546,28
596,22
303,21
509,31
351,15
36,77
576,74
279,12
582,59
562,53
586,54
441,31
536,38
595,71
541,31
304,21
118,40
600,41
321,21
632,73
482,38
627,51
38,29
385,23
397,15
52,0
430,76
324,12
575,45
3,19
322,12
81,77
617,19
300,21
98,74
393,42
590,27
18,29
45,19
425,37
347,67
417,31
565,53
490,7
126,40
145,55
582,19
550,40
4,19
574,53
598,22
561,32
300,12
609,46
618,19
313,12
25,77
40,19
388,23
528,84
588,54
495,57
625,63
354,15
433,47
15,59
73,0
159,72
259,32
339,58
134,74
190,55
296,21
492,38
225,40
510,49
598,41
335,39
611,83
619,19
436,48
469,78
291,12
289,12
44,0
85,59
337,10
450,31
154,40
566,18
292,21
362,60
467,9
309,21
603,27
242,24
99,52
245,61
287,12
139,55
100,55
519,37
522,47
572,53
507,31
221,36
39,29
141,53
172,53
488,78
573,18
584,54
273,32
326,21
529,84
620,19
24,77
57,33
390,23
114,18
128,34
193,20
590,22
164,72
162,72
80,29
410,67
621,70
381,23
604,27
133,55
605,26
222,24
38,19
276,20
253,55
617,17
28,59
531,84
532,78
88,40
416,58
91,53
611,13
609,13
346,67
502,11
537,80
576,53
306,12
570,55
92,74
72,0
168,53
27,19
558,18
39,19
258,32
607,13
476,78
83,77
127,53
167,52
215,30
7,0
226,18
466,78
136,74
288,12
613,46
626,70
199,81
530,84
377,23
79,77
77,77
181,53
333,35
352,15
218,0
503,11
608,83
578,20
143,74
13,59
412,67
428,37
455,31
95,52
135,55
43,77
612,71
580,40
64,19
373,23
403,58
298,21
272,32
30,19
117,18
328,35
192,20
130,53
87,55
348,67
16,59
151,53
601,27
552,6
106,29
463,78
109,0
213,56
331,10
444,31
572,55
205,69
46,77
255,79
279,52
101,52
535,0
603,41
51,40
370,23
493,56
182,18
67,19
198,81
595,75
379,23
589,1
230,18
602,27
61,19
35,0
76,77
131,55
48,40
338,58
518,25
243,44
359,60
446,4
399,15
251,55
26,59
217,82
604,41
6,0
375,23
323,21
237,18
610,46
314,12
147,53
494,57
149,55
93,53
613,13
424,50
90,74
10,29
576,55
20,77
605,17
570,53
474,78
382,23
102,53
204,69
170,53
578,47
464,78
484,1
189,5
611,46
289,21
623,22
497,1
203,20
290,12
526,47
401,23
501,11
160,72
453,31
108,0
308,21
174,18
363,60
285,21
244,61
266,79
357,14
1,19
515,50
559,18
371,23
520,48
534,0
549,40
49,19
256,79
525,47
89,53
431,47
512,2
153,55
177,18
367,23
229,18
194,20
281,12
329,10
34,0
442,31
542,31
150,40
472,64
2,19
307,39
368,23
54,19
386,23
165,52
232,40
50,19
249,32
277,12
23,77
479,64
594,22
143,53
608,13
392,42
163,72
161,72
42,33
418,31
457,40
136,53
195,20
609,83
567,32
138,55
622,40
596,27
608,46
607,46
613,71
254,40
315,45
577,79
209,53
325,21
41,19
389,23
183,18
592,71
614,46
155,55
318,12
327,35
157,53
68,59
231,18
107,0
574,74
349,67
104,59
590,41
478,78
548,40
298,12
223,44
498,80
565,74
581,32
606,56
486,9
451,31
630,68
499,57
280,12
294,12
601,22
53,77
264,79
94,53
422,43
271,32
423,50
130,74
123,16
365,60
239,40
596,41
246,61
544,31
523,47
248,32
350,15
480,80
400,15
336,39
440,31
533,78
540,31
592,75
209,74
481,78
456,40
568,45
175,18
281,52
132,53
615,17
395,12
384,23
487,78
286,21
188,16
447,4
569,18
252,53
616,19
201,20
32,19
612,13
414,60
610,13
84,19
391,42
80,19
121,40
224,66
603,22
599,75
144,55
547,40
197,20
334,58
311,12
267,79
103,55
459,6
214,30
342,67
366,60
82,77
508,11
620,0
387,23
612,46
257,79
240,32
449,6
22,29
5,59
594,41
560,18
495,56
263,79
607,71
514,50
378,23
124,74
539,38
156,40
284,21
353,15
270,32
432,47
579,6
621,83
420,2
95,53
364,60
186,18
358,14
29,19
571,18
238,18
247,61
234,18
148,74
302,12
65,19
55,0
404,60
413,23
116,18
496,56
184,74
269,32
180,16
111,77
17,59
282,12
491,7
610,83
516,49
207,74
506,31
122,5
470,9
181,74
101,53
171,53
212,8
557,20
485,9
66,19
405,58
598,27
278,12
585,54
594,27
200,20
435,37
344,67
438,50
578,79
330,35
120,40
421,43
593,71
380,23
207,53
615,19
19,77
70,59
196,20
601,41
27,29
409,23
500,80
554,40
505,11
206,69
312,39
408,60
33,77
252,55
142,18
475,78
262,32
619,0
236,18
461,9
465,78
210,55
216,30
563,18
47,0
331,35
69,19
84,29
319,12
317,12
31,77
513,50
11,59
527,38
597,75
614,13
105,19
265,79
185,18
71,59
628,62
602,41
102,52
631,3
383,23
233,18
299,12
